epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.2021,1.99474,4.53904,1.96879,0,0,0,0,2.17619,4.62385,2.0606,5.947e-05,5.947e-05,5.947e-05
2,124.338,1.83598,4.44972,1.81106,0,0,0,0,1.95832,4.61236,1.90214,0.000119653,0.000119653,0.000119653
3,165.858,1.81356,4.37963,1.80358,0.02899,0.00543,0.01812,0.01069,1.85979,4.5507,1.82811,0.000177357,0.000177357,0.000177357
4,208.193,1.71869,4.18946,1.74101,0.08646,0.16432,0.09586,0.06223,1.81529,4.39899,1.80553,0.000232582,0.000232582,0.000232582
5,248.181,1.68292,3.92265,1.74453,0.02555,0.57759,0.1108,0.05736,1.87109,3.89802,1.82077,0.000285328,0.000285328,0.000285328
6,307.019,1.67705,3.65078,1.70592,0.82095,0.0726,0.13888,0.06687,1.90551,3.46681,1.80132,0.000282013,0.000282013,0.000282013
7,397.219,1.64735,3.52615,1.65868,0.53438,0.22524,0.18784,0.0969,1.93852,3.2197,1.85531,0.000275816,0.000275816,0.000275816
8,491.459,1.67216,3.29289,1.66894,0.53563,0.20675,0.19857,0.09787,1.94666,3.09293,1.91233,0.000269618,0.000269618,0.000269618
9,579.906,1.72412,3.17217,1.70468,0.72056,0.1712,0.26391,0.12985,2.02891,3.03918,1.99555,0.000263421,0.000263421,0.000263421
10,671.092,1.61965,3.04972,1.65283,0.57759,0.32771,0.29488,0.1524,2.03563,3.05315,1.99732,0.000257223,0.000257223,0.000257223
11,763.522,1.64518,3.03065,1.6869,0.69294,0.29788,0.35045,0.16651,1.97252,2.84331,1.93731,0.000251026,0.000251026,0.000251026
12,852.759,1.65988,2.86786,1.70612,0.70482,0.30192,0.41319,0.20036,1.94849,2.73904,1.90924,0.000244829,0.000244829,0.000244829
13,910.646,1.61219,2.73229,1.63544,0.65166,0.40072,0.45747,0.2187,1.94534,2.6838,1.90157,0.000238631,0.000238631,0.000238631
14,1011.28,1.59873,2.75127,1.65897,0.69921,0.39616,0.45098,0.22406,1.941,2.67047,1.91249,0.000232434,0.000232434,0.000232434
15,1107.09,1.56939,2.54654,1.62209,0.7098,0.38041,0.46991,0.22897,1.95156,2.61541,1.9634,0.000226236,0.000226236,0.000226236
16,1161.93,1.60978,2.55256,1.62785,0.72193,0.39689,0.49419,0.24202,1.90467,2.57345,1.91561,0.000220039,0.000220039,0.000220039
17,1253.16,1.53939,2.47399,1.57946,0.76584,0.40526,0.51519,0.25455,1.85338,2.41869,1.86218,0.000213842,0.000213842,0.000213842
18,1291.31,1.55698,2.46016,1.60162,0.75695,0.38188,0.50901,0.25648,1.82499,2.41264,1.85525,0.000207644,0.000207644,0.000207644
19,1327.8,1.52441,2.2478,1.57379,0.66897,0.41221,0.50014,0.25759,1.85113,2.37543,1.8967,0.000201447,0.000201447,0.000201447
20,1366.54,1.55693,2.26935,1.57855,0.72788,0.40758,0.49742,0.25959,1.88358,2.32736,1.91288,0.000195249,0.000195249,0.000195249
21,1416.24,1.48727,2.16234,1.55552,0.70087,0.43868,0.50347,0.2674,1.84031,2.18422,1.87188,0.000189052,0.000189052,0.000189052
22,1509.94,1.45484,2.08628,1.52893,0.66091,0.41183,0.47385,0.26128,1.83308,2.15504,1.86788,0.000182855,0.000182855,0.000182855
23,1601.91,1.47945,2.11426,1.54336,0.6095,0.45751,0.49322,0.26773,1.82815,2.16249,1.87565,0.000176657,0.000176657,0.000176657
24,1642.94,1.50218,2.11011,1.54239,0.60574,0.46645,0.49231,0.26953,1.85368,2.12574,1.89509,0.00017046,0.00017046,0.00017046
25,1680.67,1.46405,2.06881,1.54299,0.60685,0.48619,0.50234,0.27094,1.87385,2.14467,1.91482,0.000164262,0.000164262,0.000164262
26,1718.23,1.43626,1.94558,1.47804,0.62851,0.49156,0.49644,0.27128,1.86763,2.15337,1.91105,0.000158065,0.000158065,0.000158065
27,1755.44,1.43466,2.02419,1.51725,0.71166,0.49296,0.55052,0.30209,1.84695,2.0963,1.89741,0.000151868,0.000151868,0.000151868
28,1792.33,1.42625,1.95745,1.48376,0.74353,0.47101,0.56702,0.30351,1.84869,2.09183,1.91419,0.00014567,0.00014567,0.00014567
29,1868.54,1.40996,1.8805,1.45587,0.73279,0.47044,0.5602,0.30979,1.83511,2.07811,1.90182,0.000139473,0.000139473,0.000139473
30,1953.67,1.43011,1.80679,1.47814,0.75999,0.43966,0.53749,0.297,1.8338,2.09859,1.88199,0.000133275,0.000133275,0.000133275
31,1990.72,1.37147,1.84267,1.43189,0.69299,0.47757,0.50229,0.28115,1.86554,2.09728,1.88433,0.000127078,0.000127078,0.000127078
32,2027.85,1.40604,1.86851,1.47586,0.75895,0.44758,0.50794,0.27275,1.86839,2.08484,1.88483,0.000120881,0.000120881,0.000120881
33,2064.42,1.40343,1.84758,1.48079,0.76965,0.44857,0.52146,0.28642,1.81988,2.03636,1.86274,0.000114683,0.000114683,0.000114683
34,2101.12,1.38827,1.82409,1.47833,0.75253,0.45924,0.53428,0.29024,1.82438,2.02669,1.87352,0.000108486,0.000108486,0.000108486
35,2136.43,1.32539,1.83287,1.42428,0.82781,0.44095,0.54939,0.29645,1.88634,2.00673,1.90307,0.000102288,0.000102288,0.000102288
